season,games,home_win_rate,avg_total_points,avg_margin
1946,20,0.65,123.35,2.75
1947,24,0.375,138.33333333333334,-1.9166666666666667
1948,83,0.6506024096385542,158.06024096385542,4.228915662650603
1949,137,0.6934306569343066,158.45985401459853,6.094890510948905
1950,221,0.7963800904977375,169.30769230769232,7.497737556561086
1951,227,0.7312775330396476,167.46696035242292,5.5550660792951545
1952,235,0.7702127659574468,165.41702127659573,5.714893617021277
1953,275,0.72,158.1818181818182,5.178181818181818
1954,309,0.7605177993527508,186.72815533980582,5.252427184466019
1955,311,0.7041800643086816,198.05466237942122,5.167202572347267
1956,307,0.7687296416938111,200.47231270358307,6.029315960912052
1957,309,0.6990291262135923,212.80906148867314,5.255663430420712
1958,310,0.7161290322580646,217.28387096774193,6.025806451612903
1959,325,0.683076923076923,229.70153846153846,5.344615384615385
1960,341,0.7126099706744868,235.78592375366568,5.005865102639296
1961,389,0.6786632390745502,236.60668380462724,5.39331619537275
1962,389,0.6838046272493573,230.56298200514138,4.933161953727506
1963,387,0.648578811369509,221.28165374677002,5.038759689922481
1964,386,0.6424870466321243,221.64507772020724,4.520725388601036
1965,387,0.7235142118863049,230.75193798449612,5.863049095607235
1966,436,0.6444954128440367,234.66284403669724,3.860091743119266
1967,532,0.6109022556390977,232.5300751879699,2.845864661654135
1968,613,0.6182707993474714,223.626427406199,2.794453507340946
1969,614,0.6351791530944625,232.72801302931597,3.324104234527687
1970,737,0.6160108548168249,223.85345997286296,3.7937584803256446
1971,734,0.5844686648501363,220.04223433242507,3.38283378746594
1972,738,0.5934959349593496,214.6178861788618,3.3468834688346885
1973,738,0.6205962059620597,210.63550135501356,3.8360433604336044
1974,785,0.6471337579617834,205.00891719745223,4.007643312101911
1975,788,0.6548223350253807,208.59263959390864,4.331218274111675
1976,955,0.6869109947643979,212.82303664921466,5.143455497382199
1977,953,0.6789087093389297,216.76600209863588,4.759706190975866
1978,955,0.6659685863874345,220.0586387434555,4.9089005235602095
1979,950,0.6526315789473685,218.12,4.090526315789473
1980,996,0.6144578313253012,215.38052208835342,3.713855421686747
1981,990,0.598989898989899,216.86363636363637,3.778787878787879
1982,986,0.6196754563894523,216.93103448275863,3.6977687626774847
1983,1022,0.6761252446183953,219.83561643835617,4.788649706457925
1984,1011,0.6389713155291791,222.1948565776459,3.8348170128585557
1985,1011,0.6567754698318496,220.51533135509396,4.651829871414441
1986,1014,0.6686390532544378,219.93688362919133,5.203155818540434
1987,1023,0.6813294232649071,215.72238514173998,5.7810361681329425
1988,1087,0.6697332106715731,217.84728610855566,5.411223551057958
1989,1179,0.6505513146734521,213.8447837150127,5.122137404580153
1990,1175,0.6578723404255319,212.37021276595743,4.610212765957447
1991,1180,0.6364406779661017,210.3635593220339,4.588983050847458
1992,1183,0.6136939983093829,209.80557903634826,4.11665257819104
1993,1184,0.6182432432432432,202.03800675675674,4.11570945945946
1994,1180,0.5940677966101695,202.55084745762713,3.2101694915254235
1995,1257,0.6077963404932378,198.381861575179,3.403341288782816
1996,1261,0.5820777160983347,193.46788263283108,2.7287866772402856
1997,1260,0.5992063492063492,190.65396825396826,3.0063492063492063
1998,791,0.6219974715549936,182.50063211125158,3.38558786346397
1999,1264,0.6170886075949367,194.27610759493672,3.5735759493670884
2000,1260,0.5968253968253968,189.4857142857143,2.919047619047619
2001,1260,0.5912698412698413,190.8126984126984,3.3714285714285714
2002,1277,0.6272513703993735,190.2873923257635,3.8645262333594363
2003,1271,0.6207710464201416,186.10228166797796,3.78756884343037
2004,1314,0.6012176560121766,194.3972602739726,3.1811263318112633
2005,1319,0.6080363912054587,194.12282031842304,3.4617134192570127
2006,1309,0.5951107715813598,196.93582887700535,3.0962566844919786
2007,1316,0.6101823708206687,199.1838905775076,3.711246200607903
2008,1315,0.6121673003802282,199.47832699619772,3.3064638783269964
2009,1312,0.5990853658536586,200.5282012195122,2.84375
2010,1311,0.6079328756674295,198.41647597254004,3.1975591151792524
2011,1074,0.5931098696461825,191.9804469273743,2.967411545623836
2012,1314,0.6133942161339422,195.89269406392694,3.276255707762557
2013,1319,0.579226686884003,201.82031842304775,2.6133434420015162
2014,1311,0.5758962623951183,200.09458428680398,2.3905415713196034
2015,1316,0.5942249240121581,204.97112462006078,3.027355623100304
2016,1309,0.5828877005347594,211.23605805958746,3.0832696715049654
2017,1312,0.586890243902439,212.4314024390244,2.3658536585365852
2018,1312,0.5907012195121951,221.97865853658536,2.792682926829268
2019,1137,0.5470536499560247,223.30870712401057,2.058047493403694
2020,1170,0.5444444444444444,223.88376068376067,1.1128205128205129
2021,1317,0.5474563401670464,220.66135155656795,1.8640850417615793
2022,1314,0.5814307458143074,228.7199391171994,2.5951293759512937
2023,1246,0.543338683788122,227.2134831460674,2.142857142857143
2024,1310,0.5450381679389313,226.67557251908397,1.8465648854961831
2025,1315,0.5543726235741445,230.22281368821294,1.740684410646388
